id,idade,horas_estudo,nota,faltas,tempo_transporte,grupo
1,18,10.0,9.6,6,52,C
2,19,4.0,4.4,7,84,B
3,14,7.0,1.9,7,5,B
4,19,4.0,7.0,8,65,B
5,18,5.0,0.7,15,102,A
6,19,13.0,,12,65,A
7,18,9.0,5.3,15,50,A
8,19,6.0,2.3,0,108,A
9,15,11.0,8.9,11,70,A
10,18,10.0,9.8,8,83,C
11,15,7.0,5.3,14,87,C
12,19,11.0,5.4,3,70,B
13,16,8.0,6.7,1,7,C
14,17,3.0,4.8,2,34,A
15,18,1.0,1.1,11,5,C
16,17,5.0,6.9,9,27,B
17,14,14.0,6.6,16,66,C
18,18,14.0,7.9,1,97,B
19,18,9.0,6.2,16,91,C
20,18,4.0,4.6,7,75,C
21,18,10.0,8.8,11,38, a 
22,17,5.0,9.9,18,45,B
23,17,2.0,3.6,0,108,C
24,16,1.0,8.8,7,6,B
25,19,3.0,5.5,17,71,C
26,14,3.0,4.4,4,103,C
27,16,7.0,0.5,8,64,C
28,18,13.0,8.0,5,89,C
29,14,4.0,7.1,7,82,C
30,18,10.0,3.0,3,113,A
31,15,7.0,5.8,14,85,B
32,15,2.0,6.9,12,79,B
33,19,3.0,1.4,1,106,B
34,15,8.0,1.5,12,103,C
35,18,6.0,9.7,12,27,C
36,14,2.0,0.6,18,111,C
37,16,10.0,7.1,4,69,C
38,16,14.0,9.0,7,73,A
39,18,14.0,2.5,11,50,C
40,19,7.0,7.5,19,23,B
41,18,11.0,1.6,12,79,B
42,14,12.0,7.6,17,103,B
43,16,2.0,9.8,8,109,B
44,18,2.0,5.2,18,40,C
45,16,10.0,5.2,17,75,A
46,15,10.0,9.3,9,37,A
47,18,1.0,0.0,15,68,B
48,16,9.0,9.2,11,49,A
49,18,1.0,5.9,15,16,A
50,14,12.0,9.5,5,39,A
51,19,,0.8,3,8,C
52,14,11.0,7.8,7,82,C
53,17,7.0,9.8,11,56,A
54,19,12.0,2.5,6,91,B
55,15,13.0,6.4,8,83,B
56,16,10.0,8.8,19,22,C
57,19,3.0,9.3,1,9,B
